time,seconds_elapsed,z,y,x
1633781786178085600,0.028085693359375,-8.555513043829798,-4.714686634455621,0.8633104817554355
1633781786197964500,0.047964599609375,-8.520957863277197,-4.778123626099527,0.8562662623323499
1633781786217843500,0.067843505859375,-8.491236678752303,-4.828890813523531,0.8666611804228276
1633781786237723600,0.0877236328125,-8.465985917639731,-4.869302026627958,0.8873334546387195
1633781786257602800,0.107602783203125,-8.443055708429217,-4.905588853278756,0.9057523969698696
1633781786277481500,0.1274814453125,-8.417931204044818,-4.946824534508585,0.9152864604473113
1633781786297360600,0.147360595703125,-8.38708013870716,-4.999399355876445,0.9128415515132248
1633781786317239600,0.167239501953125,-8.347917172098159,-5.0643765626996755,0.9136480455905198
1633781786337118700,0.18711865234375,-8.303045180192589,-5.13548189701438,0.9255537335701286
1633781786356997600,0.20699755859375,-8.261471060788631,-5.200428708699345,0.9348897171922027
1633781786376876500,0.22687646484375,-8.22900379242599,-5.250948351103067,0.9388396969269961
1633781786396755700,0.246755615234375,-8.205733975997566,-5.2854450794667,0.9488848517317324
1633781786416635600,0.2666357421875,-8.19192756896317,-5.30489738343358,0.9595648703739047
1633781786436514600,0.2865146484375,-8.186205684185028,-5.311877743840217,0.9697283908613026
1633781786456393700,0.306393798828125,-8.187011739870906,-5.308635400918126,0.9806186912532895
1633781786476272600,0.326272705078125,-8.192939376354216,-5.297502597007155,0.9912621772773563
1633781786496151800,0.34615185546875,-8.198656000435351,-5.285138205474615,1.0098196512963622
1633781786516030500,0.366030517578125,-8.201704866611957,-5.276054150786996,1.0323122728072107
1633781786535909600,0.38590966796875,-8.204463225409388,-5.2663189387142655,1.0597396473065017
1633781786555788800,0.405788818359375,-8.21134187900722,-5.249503997513652,1.0894749334219842
1633781786575668500,0.42566845703125,-8.224573701024054,-5.223450103324652,1.1146024334810674
1633781786595547600,0.445547607421875,-8.240593107932806,-5.1946097932875155,1.1309474921476095
1633781786615426600,0.465426513671875,-8.252605617287754,-5.173559406474232,1.1398075288210063
1633781786635305700,0.4853056640625,-8.257582821178437,-5.164786317431926,1.143547299871221
1633781786655184600,0.5051845703125,-8.25615775681138,-5.1694724294215435,1.1326056346181779
1633781786675063600,0.5250634765625,-8.247765776041149,-5.189653047662973,1.1010207020480185
1633781786694942700,0.544942626953125,-8.231244264829158,-5.2259933580666775,1.051663235291466
1633781786714821600,0.564821533203125,-8.20623257316947,-5.275843138384818,0.9968035178568213
1633781786734701600,0.58470166015625,-8.17734199424982,-5.328055556181073,0.9556634059559553
1633781786754580700,0.604580810546875,-8.155735142597555,-5.36519315444231,0.932235403291136
1633781786774459600,0.624459716796875,-8.153765888351202,-5.3712949784487485,0.9141534378293901
1633781786794338800,0.6443388671875,-8.173448493942617,-5.34469630985856,0.8940593288276344
1633781786814217500,0.664217529296875,-8.208310548487304,-5.292594366699457,0.8845712233837694
1633781786834096600,0.6840966796875,-8.252732458537816,-5.2201317725569005,0.9016715573970228
1633781786853975600,0.7039755859375,-8.305756192716956,-5.127378670057654,0.9459298743836582
1633781786873854700,0.723854736328125,-8.36181301098168,-5.0230514496207235,1.009664314604178
1633781786893734700,0.743734619140625,-8.414164544987678,-4.9209723003715276,1.0752904868554323
