time,seconds_elapsed,z,y,x
1633781605240678000,0.022677978515625,-12.018951416015625,29.33202362060547,38.0218620300293
1633781605260556800,0.042556884765625,-11.78643798828125,29.35418128967285,38.245906829833984
1633781605280435700,0.062435791015625,-12.0552978515625,29.217708587646484,38.23054504394531
1633781605300314600,0.082314697265625,-11.57421875,29.26874351501465,38.09983825683594
1633781605320193800,0.10219384765625,-11.912567138671875,29.243953704833984,38.042510986328125
1633781605340073000,0.122072998046875,-11.845977783203125,29.314476013183594,37.97337341308594
1633781605359951600,0.14195166015625,-11.698028564453125,29.130023956298828,38.102569580078125
1633781605379830800,0.161830810546875,-11.456695556640625,29.413894653320312,38.22608947753906
1633781605399709700,0.181709716796875,-11.3763427734375,29.328947067260742,38.2718505859375
1633781605419588900,0.2015888671875,-11.176483154296875,29.48367691040039,38.21186065673828
1633781605439467800,0.2214677734375,-10.934539794921875,29.469175338745117,38.19798278808594
1633781605459347700,0.24134765625,-10.815704345703125,29.06861686706543,38.575584411621094
1633781605479225900,0.261225830078125,-10.9307861328125,29.484912872314453,38.66798400878906
1633781605499105800,0.281105712890625,-11.01324462890625,29.408367156982422,38.44692611694336
1633781605518984700,0.300984619140625,-11.07757568359375,29.420207977294922,38.60455322265625
1633781605538863600,0.320863525390625,-11.4705810546875,29.483779907226562,38.39790344238281
1633781605558742800,0.34074267578125,-12.074920654296875,29.456798553466797,38.24481964111328
1633781605578622000,0.3606220703125,-12.4989013671875,29.64887046813965,37.97874450683594
1633781605598500600,0.38050048828125,-12.353546142578125,29.9074764251709,37.915550231933594
1633781605618379800,0.4003798828125,-13.123077392578125,30.123943328857422,37.64894104003906
1633781605638258700,0.4202587890625,-13.359710693359375,29.94856071472168,37.535736083984375
1633781605658137900,0.440137939453125,-13.200164794921875,29.877548217773438,37.55763244628906
1633781605678016800,0.460016845703125,-13.3890380859375,30.012561798095703,37.10688018798828
1633781605697895700,0.479895751953125,-13.356475830078125,30.230083465576172,37.377445220947266
