time,seconds_elapsed,z,y,x
1637056325879403800,0.01240380859375,6.2509765625,-20.46628189086914,-9.527381896972656
1637056325899284000,0.032283935546875,6.25164794921875,-20.48050308227539,-9.527328491210938
1637056325919163600,0.05216357421875,6.16510009765625,-20.253002166748047,-9.342613220214844
1637056325939043800,0.0720439453125,5.907989501953125,-20.304805755615234,-9.437644958496094
1637056325958923800,0.091923828125,6.169891357421875,-20.08639144897461,-9.364479064941406
1637056325978803000,0.111802978515625,6.022674560546875,-20.313541412353516,-9.394889831542969
1637056325998682600,0.1316826171875,6.201080322265625,-20.407848358154297,-9.4522705078125
1637056326018562800,0.151562744140625,5.811065673828125,-20.01070785522461,-9.225425720214844
1637056326038442800,0.17144287109375,6.296417236328125,-20.167713165283203,-9.181816101074219
1637056326058323000,0.191322998046875,6.110015869140625,-20.152515411376953,-9.387886047363281
1637056326078202600,0.21120263671875,6.15435791015625,-20.298084259033203,-9.397903442382812
1637056326098082800,0.231082763671875,6.21630859375,-20.27707290649414,-9.443733215332031
1637056326117962000,0.2509619140625,6.3214111328125,-20.223888397216797,-9.402626037597656
1637056326137841700,0.270841552734375,6.560089111328125,-20.24716567993164,-9.440567016601562
1637056326157721900,0.290721923828125,6.144012451171875,-20.428333282470703,-9.100921630859375
1637056326177601800,0.310601806640625,6.226409912109375,-19.95058822631836,-9.421234130859375
1637056326197482000,0.33048193359375,5.853515625,-20.019229888916016,-9.314620971679688
1637056326217362000,0.35036181640625,6.21728515625,-20.17374038696289,-9.237571716308594
1637056326237241900,0.370241943359375,6.138092041015625,-20.34646224975586,-9.206321716308594
1637056326257120800,0.390120849609375,6.378570556640625,-20.194957733154297,-9.167755126953125
1637056326277001000,0.4100009765625,5.936981201171875,-20.252994537353516,-9.117988586425781
1637056326296880600,0.429880615234375,6.069915771484375,-20.11819839477539,-9.103302001953125
1637056326316760800,0.4497607421875,6.158233642578125,-20.155651092529297,-9.344810485839844
1637056326336640800,0.469640869140625,6.027191162109375,-20.076618194580078,-9.162200927734375
1637056326356521000,0.48952099609375,5.9398193359375,-20.111858367919922,-9.266410827636719
1637056326376400600,0.509400634765625,6.027313232421875,-20.165096282958984,-9.39947509765625
1637056326396281900,0.52928173828125,6.134063720703125,-20.28000259399414,-9.408439636230469
1637056326416161000,0.5491611328125,6.20654296875,-20.206287384033203,-9.319595336914062
1637056326436041200,0.569041259765625,6.186309814453125,-20.307926177978516,-9.112312316894531
1637056326455921200,0.588921142578125,5.84625244140625,-20.131938934326172,-9.43316650390625
1637056326475801000,0.608801025390625,6.188446044921875,-20.041309356689453,-9.620956420898438
1637056326495681000,0.628680908203125,5.930084228515625,-20.321582794189453,-9.519050598144531
1637056326515561200,0.648561279296875,6.142364501953125,-20.40774154663086,-9.438705444335938
1637056326535440000,0.66843994140625,6.47491455078125,-20.197925567626953,-9.181503295898438
