time,seconds_elapsed,relativeAltitude,pressure
1637056325316084700,-0.550915283203125,0,1001.9327545166016
1637056326316664600,0.44966455078125,-0.0343475341796875,1001.9366455078125
1637056327317238500,1.450238525390625,-0.0660552978515625,1001.9404602050781
1637056328317808600,2.45080859375,-0.08719635009765625,1001.9429016113281
1637056329318389800,3.4513896484375,-0.10305023193359375,1001.9447326660156
1637056330318967600,4.451967529296875,-0.18495941162109375,1001.9545745849609
1637056330870238500,5.003238525390625,-0.29329681396484375,1001.9675445556641
1637056331870495500,6.00349560546875,-0.31443023681640625,1001.9701385498047
1637056332871067600,7.004067626953125,-0.3831329345703125,1001.9783782958984
1637056333871644400,8.00464453125,-0.45447540283203125,1001.9868469238281
1637056334872225500,9.0052255859375,-0.48882293701171875,1001.9908142089844
1637056335872799700,10.0057998046875,-0.48882293701171875,1001.9908142089844
1637056336873372700,11.00637255859375,-0.47032928466796875,1001.9887542724609
1637056337873949400,12.006949462890624,-0.4597625732421875,1001.9873809814453
1637056338874527500,13.007527587890625,-0.4280548095703125,1001.9835662841797
1637056339875522600,14.0085224609375,-0.40427398681640625,1001.9806671142578
1637056340875679500,15.008679443359375,-0.39105987548828125,1001.9792938232422
1637056341876258600,16.009258544921874,-0.38842010498046875,1001.978759765625
1637056342876838400,17.00983837890625,-0.37784576416015625,1001.9776153564453
1637056343877410600,18.01041064453125,-0.37520599365234375,1001.9772338867188
1637056344877986600,19.010986572265626,-0.37256622314453125,1001.9768524169922
1637056345878561500,20.0115615234375,-0.36199188232421875,1001.9757080078125
1637056346879139600,21.0121396484375,-0.34613800048828125,1001.9737243652344
1637056347879715600,22.012715576171875,-0.34085845947265625,1001.9730377197266
1637056348880734700,23.013734619140624,-0.3355712890625,1001.9724273681641
1637056349880869600,24.01386962890625,-0.31707763671875,1001.9702911376953
1637056350881443600,25.014443603515623,-0.31443023681640625,1001.9699859619141
1637056351882019600,26.01501953125,-0.31179046630859375,1001.9696044921875
1637056352882599700,27.015599609375,-0.303863525390625,1001.9686889648438
1637056353883176400,28.016176513671876,-0.303863525390625,1001.9686889648438
1637056354883747600,29.01674755859375,-0.31443023681640625,1001.9699859619141
1637056355884325600,30.01732568359375,-0.31443023681640625,1001.9699859619141
1637056356884899600,31.017899658203124,-0.31443023681640625,1001.9699859619141
1637056357885477600,32.0184775390625,-0.31443023681640625,1001.9700622558594
1637056358886056700,33.019056640625,-0.31443023681640625,1001.9700622558594
1637056359886629600,34.01962963867187,-0.31179046630859375,1001.9696807861328
1637056360887205600,35.02020556640625,-0.31179046630859375,1001.9696807861328
1637056361887782700,36.02078271484375,-0.31443023681640625,1001.9699096679688
1637056362888360400,37.0213603515625,-0.31443023681640625,1001.9699096679688
1637056363888933600,38.02193359375,-0.31443023681640625,1001.9700622558594
1637056364889513500,39.022513427734374,-0.31707763671875,1001.9703674316406
1637056365890092500,40.023092529296875,-0.322357177734375,1001.9711303710938
1637056366890661400,41.02366137695312,-0.322357177734375,1001.9711303710938
1637056367891240700,42.02424072265625,-0.322357177734375,1001.9711303710938
1637056368891816700,43.024816650390626,-0.31179046630859375,1001.9697570800781
1637056369892393500,44.0253935546875,-0.30915069580078125,1001.9695281982422
1637056370892972500,45.02597265625,-0.30915069580078125,1001.9695281982422
1637056371893549600,46.026549560546876,-0.3329315185546875,1001.9721984863281
1637056372894128600,47.02712866210938,-0.36199188232421875,1001.9756317138672
1637056373894700500,48.02770043945313,-0.3804931640625,1001.9780731201172
1637056374895276500,49.028276611328124,-0.40955352783203125,1001.9814300537109
1637056375895853600,50.028853515625,-0.40955352783203125,1001.9814300537109
1637056376896430600,51.0294306640625,-0.4016265869140625,1001.9803619384766
1637056377897007400,52.03000732421875,-0.3804931640625,1001.9778442382812
1637056378897582600,53.03058251953125,-0.37784576416015625,1001.9776153564453
1637056379898161700,54.03116162109375,-0.37784576416015625,1001.9776153564453
1637056380898734600,55.03173461914062,-0.385772705078125,1001.9786071777344
1637056381899310600,56.032310546875,-0.40427398681640625,1001.9808959960938
1637056382899890700,57.032890625,-0.4280548095703125,1001.9834899902344
1637056383900465400,58.03346533203125,-0.44390869140625,1001.9855499267578
1637056384901041400,59.03404150390625,-0.44390869140625,1001.9855499267578
1637056385901619700,60.03461962890625,-0.43598175048828125,1001.9845581054688
1637056386902193700,61.03519360351562,-0.43598175048828125,1001.9845581054688
1637056387902769700,62.03576977539063,-0.4333343505859375,1001.9841766357422
1637056388903346400,63.036346435546875,-0.43862152099609375,1001.9847869873047
1637056389903919400,64.03691943359375,-0.43862152099609375,1001.9847869873047
1637056390904499500,65.03749951171875,-0.43862152099609375,1001.9847869873047
1637056391905077500,66.03807739257813,-0.42540740966796875,1001.9831085205078
1637056392905653500,67.03865356445313,-0.41748046875,1001.982421875
1637056393906364700,68.03936474609375,-0.41748046875,1001.982421875
1637056394906805500,69.03980541992188,-0.42276763916015625,1001.9828033447266
1637056395907381500,70.04038159179687,-0.43862152099609375,1001.9847869873047
1637056396907959600,71.04095947265625,-0.47032928466796875,1001.9886779785156
1637056397908531700,72.04153173828125,-0.48354339599609375,1001.9902038574219
1637056398909109500,73.04210961914063,-0.494110107421875,1001.9915008544922
1637056399909684700,74.04268481445312,-0.5020370483398438,1001.9922637939453
1637056400910263600,75.043263671875,-0.5099639892578125,1001.9931793212891
1637056401910901500,76.04390161132812,-0.512603759765625,1001.9935607910156
1637056402911416600,77.04441650390625,-0.5152511596679688,1001.9940948486328
1637056403911990500,78.04499047851563,-0.5152511596679688,1001.9940948486328
1637056404912567600,79.04556762695313,-0.5178909301757812,1001.9941711425781
1637056405913145600,80.0461455078125,-0.50732421875,1001.9929504394531
1637056406913721600,81.0467216796875,-0.50732421875,1001.9929504394531
1637056407914297600,82.04729760742188,-0.494110107421875,1001.9915008544922
1637056408914873600,83.04787353515626,-0.475616455078125,1001.9892120361328
1637056409915451600,84.04845166015625,-0.4597625732421875,1001.9873809814453
1637056410916027600,85.04902758789062,-0.44126129150390625,1001.9851684570312
1637056411916606700,86.04960668945313,-0.42540740966796875,1001.9832611083984
1637056412917177600,87.05017749023438,-0.39369964599609375,1001.9795989990234
1637056413917756700,88.05075659179687,-0.3804931640625,1001.9780731201172
1637056414918335700,89.05133569335938,-0.3804931640625,1001.9778442382812
1637056415918910500,90.05191040039062,-0.37784576416015625,1001.9774627685547
1637056416919485700,91.05248559570313,-0.37784576416015625,1001.9774627685547
1637056417920058400,92.05305834960937,-0.3831329345703125,1001.9781494140625
1637056418920637700,93.0536376953125,-0.385772705078125,1001.9784545898438
1637056419921212700,94.05421264648437,-0.39369964599609375,1001.9795989990234
1637056420921787400,95.05478735351562,-0.39105987548828125,1001.9792938232422
1637056421922364400,96.05536450195312,-0.3963470458984375,1001.9796752929688
1637056422922942700,97.05594262695313,-0.3963470458984375,1001.9799041748047
1637056423923517400,98.05651733398437,-0.40691375732421875,1001.981201171875
1637056424924093400,99.05709350585937,-0.41748046875,1001.9822692871094
1637056425924671700,100.05767163085937,-0.42276763916015625,1001.9830322265625
1637056426925286700,101.05828662109376,-0.4333343505859375,1001.9843292236328
1637056427925822500,102.05882250976562,-0.43862152099609375,1001.98486328125
1637056428926399500,103.0593994140625,-0.44126129150390625,1001.9851684570312
1637056429926975500,104.0599755859375,-0.44126129150390625,1001.9852447509766
1637056430927553500,105.06055346679688,-0.44126129150390625,1001.9852447509766
1637056431928126500,106.06112646484375,-0.44126129150390625,1001.9850921630859
1637056432928704500,107.06170458984376,-0.43598175048828125,1001.9846343994141
1637056433929282600,108.06228247070312,-0.42540740966796875,1001.9832611083984
1637056434929858600,109.06285864257812,-0.40691375732421875,1001.9809722900391
1637056435930744600,110.06374462890625,-0.38842010498046875,1001.9788360595703
1637056436931011600,111.06401147460937,-0.367279052734375,1001.9763946533203
1637056437931588600,112.06458862304687,-0.35406494140625,1001.9749450683594
1637056438932163600,113.06516357421874,-0.3514251708984375,1001.9744110107422
1637056439932740400,114.065740234375,-0.3514251708984375,1001.9744110107422
1637056440933315600,115.06631567382813,-0.36199188232421875,1001.9757843017578
1637056441933892600,116.066892578125,-0.3646392822265625,1001.9758605957031
1637056442934469400,117.06746948242187,-0.3646392822265625,1001.9758605957031
1637056443935045400,118.06804541015624,-0.3646392822265625,1001.9758605957031
1637056444935623700,119.06862377929687,-0.35671234130859375,1001.9752502441406
1637056445936190700,120.06919067382813,-0.35671234130859375,1001.9752502441406
1637056446936774400,121.0697744140625,-0.35406494140625,1001.9747924804688
1637056447937354500,122.0703544921875,-0.35671234130859375,1001.97509765625
1637056448937928700,123.0709287109375,-0.35671234130859375,1001.97509765625
1637056449938501600,124.07150170898437,-0.3699188232421875,1001.9767761230469
1637056450939080400,125.07208056640626,-0.39105987548828125,1001.9790649414062
1637056451939656400,126.07265649414063,-0.39105987548828125,1001.9792175292969
1637056452940230700,127.07323071289062,-0.4016265869140625,1001.9803619384766
1637056453940809500,128.0738095703125,-0.412200927734375,1001.9817352294922
1637056454941385500,129.07438549804687,-0.412200927734375,1001.9817352294922
1637056455941962500,130.07496240234374,-0.412200927734375,1001.9816589355469
1637056456942537500,131.0755373535156,-0.412200927734375,1001.9816589355469
1637056457943110400,132.0761103515625,-0.42540740966796875,1001.9831085205078
1637056458943687700,133.07668774414063,-0.42540740966796875,1001.9831085205078
1637056459944266500,134.0772666015625,-0.42540740966796875,1001.9832611083984
1637056460944843500,135.07784350585936,-0.430694580078125,1001.9838714599609
1637056461945417700,136.07841772460938,-0.449188232421875,1001.9859313964844
1637056462945994500,137.07899438476562,-0.45183563232421875,1001.9863128662109
1637056463946574300,138.07957421875,-0.45447540283203125,1001.9868469238281
1637056464947150600,139.08015063476563,-0.46768951416015625,1001.9882202148438
1637056465947722800,140.08072265625,-0.475616455078125,1001.9892883300781
1637056466948303400,141.08130346679687,-0.4782562255859375,1001.9895935058594
1637056467948878600,142.08187866210938,-0.4782562255859375,1001.9895935058594
1637056468949454600,143.08245458984376,-0.48089599609375,1001.9898986816406
1637056469950082600,144.08308251953125,-0.4967498779296875,1001.9917297363281
1637056470950607600,145.08360766601564,-0.4967498779296875,1001.9917297363281
1637056471951187700,146.08418774414062,-0.494110107421875,1001.9915771484375
1637056472951761400,147.08476147460937,-0.494110107421875,1001.9915771484375
1637056473952336600,148.08533666992187,-0.494110107421875,1001.9915771484375
1637056474952912600,149.08591259765626,-0.48089599609375,1001.9898986816406
1637056475953487600,150.08648754882813,-0.4782562255859375,1001.9895935058594
1637056476954064600,151.08706469726562,-0.47032928466796875,1001.9886016845703
