time,seconds_elapsed,relativeAltitude,pressure
1634126839456171500,-0.556828369140625,0,1004.1015625
1634126840456742400,0.443742431640625,-0.02642822265625,1004.1046142578125
1634126841457322500,1.444322509765625,-0.05284881591796875,1004.107666015625
1634126842457899500,2.4448994140625,-0.08191680908203125,1004.1112518310547
1634126843458474800,3.445474853515625,-0.0924835205078125,1004.1123962402344
1634126844459051500,4.446051513671875,-0.09777069091796875,1004.1132354736328
1634126845010004500,4.99700439453125,-0.11362457275390625,1004.1149139404297
1634126846010576600,5.99757666015625,-0.13211822509765625,1004.1173553466797
1634126847011158800,6.99815869140625,-0.15061187744140625,1004.1194152832031
1634126848011731700,7.998731689453125,-0.15325927734375,1004.119873046875
1634126849012303600,8.9993037109375,-0.16646575927734375,1004.1212463378906
1634126850012881400,9.99988134765625,-0.16646575927734375,1004.1212463378906
1634126851013459700,11.000459716796875,-0.16382598876953125,1004.1210174560547
1634126852014034400,12.001034423828125,-0.16382598876953125,1004.1210174560547
1634126853014612700,13.00161279296875,-0.16382598876953125,1004.1209411621094
1634126854015187500,14.0021875,-0.16118621826171875,1004.1206359863281
