time,seconds_elapsed,relativeAltitude,pressure
1633780518566541300,-0.564458740234375,0,1004.5425415039062
1633780519567198000,0.436197998046875,-0.03963470458984375,1004.5474243164062
1633780520567696100,1.436696044921875,-0.0792694091796875,1004.5522308349609
1633780521568270000,2.43727001953125,-0.11890411376953125,1004.5569610595703
1633780522568846000,3.43784619140625,-0.13475799560546875,1004.5587158203125
1633780523569420000,4.438419921875,-0.15061187744140625,1004.5606231689453
1633780524120374300,4.989374267578125,-0.18231964111328125,1004.5642852783203
1633780525120948000,5.989947998046875,-0.18231964111328125,1004.5642852783203
1633780526121525000,6.99052490234375,-0.17704010009765625,1004.5639801025391
1633780527122102000,7.99110205078125,-0.17704010009765625,1004.5637512207031
1633780528122922200,8.991922119140625,-0.17704010009765625,1004.5637512207031
1633780529123256300,9.99225634765625,-0.17704010009765625,1004.5637512207031
1633780530123835100,10.992835205078125,-0.17704010009765625,1004.5639038085938
1633780531124408000,11.993407958984376,-0.19024658203125,1004.5652008056641
1633780532124982000,12.99398193359375,-0.19817352294921875,1004.5664215087891
1633780533125562000,13.99456201171875,-0.2166748046875,1004.5685577392578
1633780534126137000,14.99513720703125,-0.22724151611328125,1004.5696258544922
1633780535126713000,15.995713134765625,-0.24045562744140625,1004.5713043212891
1633780536127289000,16.9962890625,-0.24573516845703125,1004.5720672607422
