time,seconds_elapsed,relativeAltitude,pressure
1633779758981601500,-0.5883984375,0,1004.5525360107422
1633779759982180600,0.4121806640625,-0.0528411865234375,1004.5588684082031
1633779760982807600,1.4128076171875,-0.10832977294921875,1004.5652770996094
1633779761983335400,2.41333544921875,-0.29857635498046875,1004.5880889892578
1633779762983906600,3.413906494140625,-0.602447509765625,1004.6242523193359
1633779763984482600,4.414482666015625,-0.938018798828125,1004.664306640625
1633779764535434500,4.9654345703125,-1.3211593627929688,1004.7100067138672
1633779765536009500,5.966009521484375,-1.4955520629882812,1004.7309875488281
1633779766536590600,6.966590576171875,-1.8575439453125,1004.774169921875
1633779767537164800,7.967164794921875,-2.2010498046875,1004.8151397705078
1633779768537738500,8.967738525390626,-2.5419082641601562,1004.8557281494141
1633779769538318600,9.968318603515625,-2.8272781372070312,1004.8899078369141
1633779770538891500,10.9688916015625,-3.0756607055664062,1004.9192810058594
