 Acc_timestamp,Accx,Accy,Accz,Gyro_timestamp,Gyrox,Gyroy,Gyroz,Baro_timestamp,Pressure_Reading
 33890304.000000, 0.382852 , 3.208775, 9.099905, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000
 24576.000000, 0.428315 , 3.038885, 9.020942, 87562084352.000000, -21.700001,  -8.330000,  -19.320000, 87622295552.000000,  1009.068726
 40960.000000, 0.241675 , 3.163311, 8.822337, 87562108928.000000, -21.700001,  -8.330000,  -19.320000, 0.000000,  0.000000 
 65536.000000, 0.385244 , 3.218346, 8.717053, 87562125312.000000, 1.820000,  7.140000,  11.340000, 0.000000,  0.000000 
 81920.000000, 0.437887 , 3.019742, 8.846266, 87562149888.000000, 2.240000,  2.310000,  5.530000, 0.000000,  0.000000 
 98304.000000, 0.210568 , 2.859423, 8.829515, 87562166272.000000, -2.520000,  3.080000,  4.760000, 0.000000,  0.000000 
 122880.000000, 0.148355 , 2.873780, 8.906086, 87562190848.000000, -4.270000,  5.180000,  4.270000, 0.000000,  0.000000 
 139264.000000, 0.090927 , 3.019742, 8.953942, 87562207232.000000, -1.470000,  7.210000,  4.200000, 0.000000,  0.000000 
 163840.000000, -0.057428 , 3.022135, 8.920443, 87562223616.000000, 1.960000,  8.260000,  4.970000, 0.000000,  0.000000 
 180224.000000, -0.248854 , 2.959922, 8.860621, 87562248192.000000, 1.050000,  10.430000,  5.180000, 0.000000,  0.000000 
 204800.000000, -0.234497 , 2.880959, 8.831908, 87562264576.000000, -2.240000,  11.550000,  5.040000, 0.000000,  0.000000 
 221184.000000, -0.215354 , 2.888137, 8.822337, 87562289152.000000, -3.990000,  11.550000,  4.900000, 0.000000,  0.000000 
 245760.000000, -0.090927 , 2.792424, 8.824730, 87562305536.000000, -5.110000,  11.900000,  4.900000, 0.000000,  0.000000 
 262144.000000, -0.043071 , 2.761317, 8.685946, 87562330112.000000, -6.580000,  12.530000,  5.180000, 0.000000,  0.000000 
 286720.000000, -0.095713 , 2.667997, 8.472985, 87562346496.000000, -8.400000,  13.720000,  5.250000, 0.000000,  0.000000 
 303104.000000, 0.124427 , 2.567499, 8.413164, 87562371072.000000, -10.500000,  15.260000,  4.410000, 0.000000,  0.000000 
 319488.000000, 0.375673 , 2.495714, 8.310273, 87562387456.000000, -14.630000,  17.010000,  2.380000, 0.000000,  0.000000 
 344064.000000, 0.729811 , 2.414358, 8.135597, 87562403840.000000, -19.040001,  20.230000,  -0.560000, 0.000000,  0.000000 
 360448.000000, 0.923629 , 2.328217, 8.073383, 87562428416.000000, -20.860001,  23.660000,  -3.710000, 0.000000,  0.000000 
 385024.000000, 1.263410 , 2.170290, 8.207381, 87562444800.000000, -19.879999,  26.460001,  -7.420000, 0.000000,  0.000000 
 401408.000000, 1.663012 , 2.199004, 8.566305, 87562469376.000000, -17.080000,  28.980000,  -9.240000, 0.000000,  0.000000 
 425984.000000, 1.550549 , 1.749153, 8.977871, 87562485760.000000, -17.219999,  32.130001,  -9.450000, 0.000000,  0.000000 
 442368.000000, 1.129412 , 1.227518, 9.695717, 87562510336.000000, -24.219999,  37.520000,  -9.310000, 0.000000,  0.000000 
 458752.000000, 1.232304 , 0.981057, 10.583455, 87562526720.000000, -33.880001,  41.509998,  -8.050000, 0.000000,  0.000000 
 483328.000000, 1.323231 , 0.813560, 10.975878, 87562543104.000000, -35.560001,  41.160000,  -4.130000, 0.000000,  0.000000 
 499712.000000, 0.952343 , 0.894916, 11.009377, 87562567680.000000, -41.299999,  39.830002,  -3.150000, 0.000000,  0.000000 
 524288.000000, 0.990629 , 0.942772, 11.272588, 87562584064.000000, -57.470001,  37.939999,  -5.320000, 0.000000,  0.000000 
 540672.000000, 1.110270 , 1.196411, 11.665009, 87562608640.000000, -74.900002,  30.730000,  -9.730000, 0.000000,  0.000000 
 565248.000000, 0.961915 , 0.801596, 11.753544, 87562625024.000000, -91.489998,  22.540001,  -16.660000, 0.000000,  0.000000 
 581632.000000, 0.686740 , 0.057428, 11.712867, 87562649600.000000, -101.709999,  16.450001,  -25.059999, 0.000000,  0.000000 
 598016.000000, 0.440279 , 0.296710, 10.954341, 87562665984.000000, -78.260002,  9.520000,  -27.370001, 0.000000,  0.000000 
 622592.000000, 0.418744 , 1.115055, 9.891929, 87562690560.000000, -27.370001,  1.050000,  -24.430000, 0.000000,  0.000000 
 638976.000000, 0.263210 , 1.854438, 9.037691, 87562706944.000000, 11.480000,  -6.650000,  -19.950001, 0.000000,  0.000000 
 663552.000000, 0.052642 , 2.086541, 8.413164, 87562723328.000000, 15.400000,  -9.520000,  -17.920000, 0.000000,  0.000000 
 679936.000000, -0.148355 , 1.749153, 7.683353, 87562747904.000000, -6.160000,  -7.000000,  -15.330000, 0.000000,  0.000000 
 704512.000000, -0.330210 , 1.371087, 7.168896, 87562764288.000000, -37.310001,  -0.420000,  -11.130000, 0.000000,  0.000000 
 720896.000000, -0.617348 , 0.937986, 6.690332, 87562788864.000000, -64.190002,  9.730000,  -3.150000, 0.000000,  0.000000 
 745472.000000, -1.064806 , 0.650848, 6.221339, 87562805248.000000, -77.489998,  23.240000,  7.630000, 0.000000,  0.000000 
 761856.000000, -1.596013 , 0.717847, 5.749953, 87562829824.000000, -80.150002,  39.830002,  17.639999, 0.000000,  0.000000 
 786432.000000, -2.057827 , 0.629312, 5.211568, 87562846208.000000, -82.669998,  57.959999,  26.809999, 0.000000,  0.000000 
 802816.000000, -2.708675 , 0.081356, 4.453043, 87562870784.000000, -88.340004,  77.769997,  36.330002, 0.000000,  0.000000 
 819200.000000, -3.936193 , -0.500100, 3.471986, 87562887168.000000, -89.739998,  101.919998,  47.740002, 0.000000,  0.000000 
 843776.000000, -5.745167 , -0.574277, 2.572284, 87562903552.000000, -84.559998,  134.259995,  61.810001, 0.000000,  0.000000 
 860160.000000, -7.738388 , -0.703490, 1.993221, 87562928128.000000, -77.139999,  174.160004,  76.370003, 0.000000,  0.000000 
 884736.000000, -8.987441 , -0.957129, 1.476372, 87562944512.000000, -74.830002,  211.470001,  88.059998, 0.000000,  0.000000 
 901120.000000, -9.832108 , -1.115055, 1.263410, 87562969088.000000, -76.650002,  236.460007,  97.790001, 0.000000,  0.000000 
 925696.000000, -11.073983 , -0.928415, 1.194018, 87562985472.000000, -79.590004,  253.190002,  107.309998, 0.000000,  0.000000 
 942080.000000, -13.263416 , -0.859023, 1.004985, 87563010048.000000, -76.160004,  277.269989,  120.120003, 0.000000,  0.000000 
 958464.000000, -15.866807 , -1.000200, 0.693919, 87563026432.000000, -60.830002,  308.700012,  133.699997, 0.000000,  0.000000 
 983040.000000, -17.369499 , -1.351945, 1.138984, 87563042816.000000, -38.709999,  328.929993,  146.369995, 0.000000,  0.000000 
 999424.000000, -17.764317 , -1.744368, 1.512264, 87563083776.000000, 24.780001,  319.200012,  172.550003, 0.000000,  0.000000 
 1024000.000000, -18.285952 , -1.797010, 2.230111, 0.000000, 0.000000,  0.000000,  0.000000, 87623294976.000000,  1009.067505 
 1040384.000000, -18.527626 , -1.342373, 3.072384, 87563108352.000000, 72.870003,  312.899994,  176.750000, 0.000000,  0.000000 
 1064960.000000, -17.434107 , -0.232104, 3.550949, 87563124736.000000, 136.500000,  295.540009,  170.309998, 0.000000,  0.000000 
 1081344.000000, -15.373885 , 1.222732, 2.421536, 87563149312.000000, 205.520004,  252.279999,  147.279999, 0.000000,  0.000000 
 1097728.000000, -13.615161 , 3.302095, 0.758525, 87563165696.000000, 255.779999,  192.220001,  111.370003, 0.000000,  0.000000 
 1122304.000000, -12.062220 , 5.386244, -0.227318, 87563190272.000000, 252.490005,  134.119995,  66.849998, 0.000000,  0.000000 
 1138688.000000, -10.533205 , 5.754738, -0.208176, 87563206656.000000, 194.039993,  86.239998,  26.460001, 0.000000,  0.000000 
 1163264.000000, -9.655040 , 4.955536, 0.346959, 87563223040.000000, 90.860001,  56.420002,  -8.610000, 0.000000,  0.000000 
 1179648.000000, -9.602397 , 3.615555, 1.033699, 87563247616.000000, -20.160000,  51.170002,  -31.500000, 0.000000,  0.000000 
 1204224.000000, -9.504292 , 2.007578, 1.993221, 87563264000.000000, -112.419998,  56.420002,  -43.049999, 0.000000,  0.000000 
 1220608.000000, -8.989835 , 0.531207, 3.029313, 87563288576.000000, -177.449997,  51.170002,  -45.849998, 0.000000,  0.000000 
 1245184.000000, -8.209774 , -0.476172, 3.684947, 87563304960.000000, -210.979996,  37.450001,  -43.470001, 0.000000,  0.000000 
 1261568.000000, -7.506285 , -1.292124, 4.228118, 87563329536.000000, -215.250000,  25.270000,  -35.770000, 0.000000,  0.000000 
 1286144.000000, -6.970293 , -1.828116, 4.725825, 87563345920.000000, -195.789993,  19.950001,  -23.730000, 0.000000,  0.000000 
 1302528.000000, -6.649654 , -1.840081, 5.391029, 87563370496.000000, -151.479996,  20.440001,  -10.430000, 0.000000,  0.000000 
 1318912.000000, -6.577869 , -1.435694, 5.111069, 87563386880.000000, -84.139999,  22.400000,  2.940000, 0.000000,  0.000000 
 1343488.000000, -6.628119 , -0.803988, 4.807181, 87563403264.000000, -2.730000,  22.610001,  16.799999, 0.000000,  0.000000 
 1359872.000000, -7.231110 , -0.277567, 4.608576, 87563427840.000000, 65.099998,  21.210001,  23.870001, 0.000000,  0.000000 
 1384448.000000, -8.408379 , 0.143569, 4.395615, 87563444224.000000, 109.900002,  22.469999,  26.180000, 0.000000,  0.000000 
 1400832.000000, -9.750752 , 0.674776, 4.120440, 87563468800.000000, 136.430008,  22.960001,  25.480000, 0.000000,  0.000000 
 1425408.000000, -10.906486 , 1.313660, 3.512664, 87563485184.000000, 150.710007,  17.850000,  24.639999, 0.000000,  0.000000 
 1441792.000000, -11.609976 , 2.048256, 2.624927, 87563509760.000000, 155.190002,  0.070000,  23.450001, 0.000000,  0.000000 
 1458176.000000, -11.667403 , 2.682354, 1.536192, 87563542528.000000, 122.500000,  -59.990002,  17.990000, 0.000000,  0.000000 
 1482752.000000, -10.978271 , 3.093920, 1.115055, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 1499136.000000, -10.327423 , 3.203990, 1.129412, 87563567104.000000, 86.029999,  -94.639999,  11.900000, 0.000000,  0.000000 
 1523712.000000, -10.425529 , 2.969493, 1.232304, 87563583488.000000, 44.590000,  -123.550003,  0.700000, 0.000000,  0.000000 
 1540096.000000, -11.729616 , 2.586641, 1.174876, 87563608064.000000, 2.800000,  -137.059998,  -14.840000, 0.000000,  0.000000 
 1564672.000000, -14.184652 , 2.244468, 0.995414, 87563624448.000000, -30.450001,  -138.250000,  -28.420000, 0.000000,  0.000000 
 1581056.000000, -17.912670 , 1.548156, 0.421137, 87563649024.000000, -55.230000,  -132.229996,  -40.950001, 0.000000,  0.000000 
 1597440.000000, -20.652454 , 0.535992, 0.492921, 87563665408.000000, -74.199997,  -125.720001,  -51.730000, 0.000000,  0.000000 
 1622016.000000, -18.510876 , -0.258425, 0.626920, 87563689984.000000, -85.470001,  -144.899994,  -52.290001, 0.000000,  0.000000 
 1638400.000000, -15.029318 , -0.406780, 0.457029, 87563706368.000000, -81.199997,  -188.020004,  -35.770000, 0.000000,  0.000000 
 1662976.000000, -14.050655 , -0.251246, -0.447458, 87563722752.000000, -74.410004,  -211.820007,  -28.210001, 0.000000,  0.000000 
