time,seconds_elapsed,z,y,x
1633782542486692900,0.01769287109375,-7.827442514908313,-5.907655187034607,0.03366207220435608
1633782542506571800,0.03757177734375,-7.8123261943191284,-5.927692012891173,0.020174140551581513
1633782542526451000,0.057450927734375,-7.8002184078961605,-5.9436436152607195,0.009319001092054531
1633782542546328800,0.077328857421875,-7.794507629033923,-5.951136601364612,0.0010269420270364207
1633782542566208000,0.0972080078125,-7.792715484920143,-5.953478780576586,-0.00827614725466119
1633782542586086700,0.117086669921875,-7.793004238733649,-5.953087735432386,-0.014615665032580726
1633782542605965800,0.1369658203125,-7.794031828215718,-5.951732813692092,-0.018312591313268057
1633782542625843700,0.15684375,-7.79546390684545,-5.9498413008570665,-0.022684493104426655
1633782542645723000,0.176722900390625,-7.797956308183074,-5.946555118793249,-0.027366956398810725
1633782542665602000,0.19660205078125,-7.800550416329503,-5.943118714603782,-0.03374945366028696
1633782542685481000,0.21648095703125,-7.802896687194704,-5.939941253611445,-0.047784687314764596
1633782542705359000,0.236359130859375,-7.805778964632749,-5.93584784681797,-0.07688856649179943
1633782542725239300,0.2562392578125,-7.811501433932781,-5.927330193841457,-0.1326154312829487
1633782542745118200,0.2761181640625,-7.834635056760907,-5.89392359880209,-0.22481983212456105
1633782542764997000,0.2959970703125,-7.868550770366191,-5.843233860528469,-0.3360301996713504
1633782542784875300,0.315875244140625,-7.903878104335069,-5.787578024280071,-0.45058772222157567
1633782542804754200,0.335754150390625,-7.9314932564914224,-5.743458312046528,-0.5239137282604351
1633782542824633000,0.355633056640625,-7.947880327668786,-5.7169216027766465,-0.5642568810973316
1633782542844511200,0.37551123046875,-7.94981158799231,-5.711018516212701,-0.5959410362582653
1633782542864390100,0.39539013671875,-7.943717362770438,-5.718384661066532,-0.60647908914648
1633782542884269300,0.415269287109375,-7.944802235397696,-5.718889687979221,-0.5871989999413489
1633782542904148200,0.435148193359375,-7.955252902263402,-5.7050417798906565,-0.580370870954357
1633782542924026400,0.4550263671875,-7.968221689429878,-5.682659852212667,-0.6206435158383101
1633782542943905000,0.474905029296875,-7.965752668967842,-5.673858121597767,-0.724222548256442
1633782542963784200,0.4947841796875,-7.914407097133994,-5.720436917421221,-0.8995245354309678
1633782542983663000,0.5146630859375,-7.809279081708192,-5.826104446551203,-1.114477199666202
1633782543003541200,0.534541259765625,-7.684130022516846,-5.9514966668486595,-1.305456429248303
1633782543023420200,0.554420166015625,-7.568947646066546,-6.058592182955145,-1.474747850896418
1633782543043299000,0.574299072265625,-7.4840522713303566,-6.129289520990848,-1.6097088406585156
1633782543063178200,0.59417822265625,-7.430187994673847,-6.160699389255046,-1.7344935965821147
1633782543083056000,0.61405615234375,-7.411338917297124,-6.151548699072003,-1.8441512182615696
1633782543102935300,0.633935302734375,-7.434336931046843,-6.1037424072802065,-1.9092802546456455
1633782543122814200,0.653814208984375,-7.497422625035047,-6.019691082152724,-1.9293435301177202
1633782543142692000,0.673692138671875,-7.595622887024283,-5.901712352982163,-1.9096327213451265
1633782543162571300,0.6935712890625,-7.706077650430798,-5.772195161709189,-1.8623940003082156
1633782543182450200,0.7134501953125,-7.807765170013904,-5.657901843053102,-1.7881100359573958
1633782543202329000,0.7333291015625,-7.8831667402178045,-5.57508035198152,-1.7159684904627501
1633782543222207200,0.753207275390625,-7.936568075537681,-5.517786100876331,-1.6538748762518167
1633782543242086100,0.773086181640625,-7.983432702565192,-5.462361735296249,-1.6117682574063539
1633782543261965300,0.79296533203125,-8.03448484441042,-5.3927212128371,-1.5924825421780346
1633782543281844200,0.81284423828125,-8.092218071454763,-5.308078936079144,-1.584515654952079
1633782543301722400,0.832722412109375,-8.153001918241381,-5.218126277953386,-1.571655150465667
1633782543321601300,0.852601318359375,-8.21730867845714,-5.125974648478627,-1.5396777114465832
1633782543341480200,0.872480224609375,-8.283384201911092,-5.032275205039978,-1.4940347351685166
1633782543361359000,0.892359130859375,-8.342586332464217,-4.945223529052734,-1.4547861361026764
1633782543381237200,0.9122373046875,-8.387344927123188,-4.873618720783293,-1.4389838790759444
1633782543401116200,0.9321162109375,-8.416893093168735,-4.817997079065441,-1.453686358167231
1633782543420995300,0.951995361328125,-8.435354048010707,-4.772060380537807,-1.4975398206800221
1633782543440874000,0.9718740234375,-8.452201722437144,-4.7239027910903095,-1.5541609948292374
1633782543460752100,0.991752197265625,-8.475226624193787,-4.665062187325955,-1.605648897743225
1633782543480631000,1.011631103515625,-8.505361650216578,-4.595306514054537,-1.6469259338967501
1633782543500510200,1.03151025390625,-8.535063545519114,-4.526280324101448,-1.6840025957509874
1633782543520389000,1.05138916015625,-8.558525669649242,-4.469209068097174,-1.7170304206058382
1633782543540267300,1.071267333984375,-8.57580062957704,-4.429827782562374,-1.732816018758714
1633782543560146200,1.091146240234375,-8.586613115492463,-4.412160316185653,-1.7243243770062922
1633782543580025000,1.111025146484375,-8.591768598559499,-4.414253781333565,-1.6930035021997987
1633782543599903200,1.1309033203125,-8.589031282550096,-4.433247235617041,-1.6568772729381918
1633782543619782100,1.1507822265625,-8.58143366702795,-4.4618964069962495,-1.6189064387232064
